Date,Year,Month,MonthName,Quarter,Day,DayOfWeek,DateKey
2019-09-12,2019,9,September,3,12,Thursday,255
2019-09-13,2019,9,September,3,13,Friday,256
2019-09-14,2019,9,September,3,14,Saturday,257
2019-09-15,2019,9,September,3,15,Sunday,258
2019-09-16,2019,9,September,3,16,Monday,259
2019-09-17,2019,9,September,3,17,Tuesday,260
2019-09-18,2019,9,September,3,18,Wednesday,261
2019-09-19,2019,9,September,3,19,Thursday,262
2019-09-20,2019,9,September,3,20,Friday,263
2019-09-21,2019,9,September,3,21,Saturday,264
2019-09-22,2019,9,September,3,22,Sunday,265
2019-09-23,2019,9,September,3,23,Monday,266
2019-09-24,2019,9,September,3,24,Tuesday,267
2019-09-25,2019,9,September,3,25,Wednesday,268
2019-09-26,2019,9,September,3,26,Thursday,269
2019-09-27,2019,9,September,3,27,Friday,270
2019-09-28,2019,9,September,3,28,Saturday,271
2019-09-29,2019,9,September,3,29,Sunday,272
2019-09-30,2019,9,September,3,30,Monday,273
2019-10-01,2019,10,October,4,1,Tuesday,274
2019-10-02,2019,10,October,4,2,Wednesday,275
2019-10-03,2019,10,October,4,3,Thursday,276
2019-10-04,2019,10,October,4,4,Friday,277
2019-10-05,2019,10,October,4,5,Saturday,278
2019-10-06,2019,10,October,4,6,Sunday,279
2019-10-07,2019,10,October,4,7,Monday,280
2019-10-08,2019,10,October,4,8,Tuesday,281
2019-10-09,2019,10,October,4,9,Wednesday,282
2019-10-10,2019,10,October,4,10,Thursday,283
2019-10-11,2019,10,October,4,11,Friday,284
2019-10-12,2019,10,October,4,12,Saturday,285
2019-10-13,2019,10,October,4,13,Sunday,286
2019-10-14,2019,10,October,4,14,Monday,287
2019-10-15,2019,10,October,4,15,Tuesday,288
2019-10-16,2019,10,October,4,16,Wednesday,289
2019-10-17,2019,10,October,4,17,Thursday,290
2019-10-18,2019,10,October,4,18,Friday,291
2019-10-19,2019,10,October,4,19,Saturday,292
2019-10-20,2019,10,October,4,20,Sunday,293
2019-10-21,2019,10,October,4,21,Monday,294
2019-10-22,2019,10,October,4,22,Tuesday,295
2019-10-23,2019,10,October,4,23,Wednesday,296
2019-10-24,2019,10,October,4,24,Thursday,297
